,alpha,gamma,pathological_corr,healthy_corr,stutter_pref,expected_delay,expected_stutter
0,1.0,0.0,0.3333515736629482,0.33335157366294826,8.208036043355627e-05,0.33606971065921853,1.059820609956376
1,1.0,0.2631578947368421,0.33252506724354025,0.3325250672435403,-0.003639407626039981,0.20978119635738732,0.8726010072829236
2,1.0,0.5263157894736842,0.3305202493089386,0.33052024930893864,-0.012685812567760246,0.21121568323354875,0.8760792837705831
3,1.0,0.7894736842105263,0.25903044681551934,0.44490946899594974,-0.6779682174078899,1.5110264460692977,1.3703583239766801
4,1.0,1.0526315789473684,0.24486392105011182,0.4699069473572728,-0.8255443034674762,1.6580605516140554,1.316342065458072
5,1.0,1.3157894736842104,0.23179212648216643,0.4899224888646524,-0.9544403153170928,1.7072300432331993,1.2503750449724647
6,1.0,1.5789473684210527,0.21874877628866723,0.506067475356554,-1.0760425557978996,1.6923012291104027,1.1784205206009224
7,1.0,1.8421052631578947,0.20614989158440705,0.5199543667258002,-1.1919307689891014,1.6425563981999374,1.1066466650063311
8,1.0,2.1052631578947367,0.1941288431072258,0.5317999714110676,-1.3024774877358194,1.5759930481642592,1.037069167194014
9,1.0,2.3684210526315788,0.18282265632133568,0.5430281537199584,-1.4063305285918506,1.5042908992833555,0.9735861553175491
10,1.0,2.631578947368421,0.17167145059885042,0.553908823622968,-1.5071519118344419,1.4322430934915773,0.9156864834190421
11,1.0,2.894736842105263,0.1612657201300419,0.5646049178137252,-1.6010313010549617,1.3628230231104088,0.8637431447328111
12,1.0,3.1578947368421053,0.15096162707164487,0.575849298447215,-1.693345892958117,1.2980103060273187,0.8179370336078581
13,1.0,3.4210526315789473,0.14093984061103676,0.5872748647122753,-1.7839202085092731,1.2359355916549748,0.7754581152889054
14,1.0,3.6842105263157894,0.13134738656391823,0.5991185013938244,-1.8727336896174918,1.1779112793108197,0.7378698321166163
15,1.0,3.9473684210526314,0.12188178819174868,0.6111474596556518,-1.9634880411251343,1.121775196239147,0.7024787385334016
16,1.0,4.2105263157894735,0.11257174592389342,0.6237800237160424,-2.057032899682335,1.067148072895382,0.6690219891485816
17,1.0,4.473684210526316,0.10397917780856916,0.6364816968534391,-2.148548346695681,1.0150772083031818,0.6381100800249101
18,1.0,4.7368421052631575,0.09554575916122447,0.6491583811624032,-2.2442085855024474,0.9631852280813135,0.6082197484463018
19,1.0,5.0,0.08761320813760456,0.6625012970059023,-2.3407867708388723,0.9135310822836571,0.5801572425147814
20,0.9921052631578947,0.0,0.3333191877490689,0.3333191877490688,-6.365580454814612e-05,0.33610873085701704,1.0600313035770936
21,0.9921052631578947,0.2631578947368421,0.73783618277568,0.739297504106149,1.7253814911496905,0.11137553501510156,1.1878066770205504
22,0.9921052631578947,0.5263157894736842,0.9219226310755984,0.9227986148450069,3.157860505045014,0.027091203829509424,1.3611469180434654
23,0.9921052631578947,0.7894736842105263,0.03165453494213341,0.30181264906511596,-3.1987792432752027,0.2949415405606854,0.4253177248973055
24,0.9921052631578947,1.0526315789473684,0.0030798389330476124,0.16670111771461407,-5.63814237359319,0.04452670861410753,0.141114198429595
25,0.9921052631578947,1.3157894736842104,0.00032573669462020627,0.0852970017777308,-7.938617228432481,0.006297066649143888,0.07584597607886354
26,0.9921052631578947,1.5789473684210527,3.254708799951891e-05,0.03784897992821761,-10.27539835497262,0.0008722628592743207,0.04686110030019244
27,0.9921052631578947,1.8421052631578947,3.0496433994933793e-06,0.014978865625962077,-12.66428492757029,0.00011894961440917461,0.029444778800780096
28,0.9921052631578947,2.1052631578947367,2.727585046156419e-07,0.005523658426948502,-15.091936191852865,1.589093593597828e-05,0.01849523587947472
29,0.9921052631578947,2.3684210526315788,2.367219724488839e-08,0.001959785041552678,-17.544711393363453,2.0879123286092918e-06,0.01159077118768041
30,0.9921052631578947,2.631578947368421,2.016041465572907e-09,0.0006811504646590518,-20.013211341575644,2.7173000567608876e-07,0.007247530076754899
31,0.9921052631578947,2.894736842105263,1.6955030120260294e-10,0.00023390505918590267,-22.492296459474108,3.519782749377491e-08,0.004530817587641999
32,0.9921052631578947,3.1578947368421053,1.4120831392158761e-11,7.961897947541005e-05,-24.97988724333366,4.547855823539648e-09,0.0028300301908326096
33,0.9921052631578947,3.4210526315789473,1.1677730907992155e-12,2.693354232518418e-05,-27.47374766216626,5.870428399652728e-10,0.0017670121792547424
34,0.9921052631578947,3.6842105263157894,9.596811905620606e-14,9.059552964515503e-06,-29.97340256334723,7.569513402995397e-11,0.0011033186239207007
35,0.9921052631578947,3.9473684210526314,7.842086985650918e-15,3.0313487305040554e-06,-32.47842384698349,9.747360519967297e-12,0.0006888932280862874
36,0.9921052631578947,4.2105263157894735,6.380890767250481e-16,1.010238603329449e-06,-34.987524777785346,1.2540680358474472e-12,0.00042955348773620586
37,0.9921052631578947,4.473684210526316,5.1730955217874254e-17,3.3550773526675546e-07,-37.500145163921175,1.611968071881338e-13,0.0002682255370535303
38,0.9921052631578947,4.7368421052631575,4.17612265601559e-18,1.1096352451315202e-07,-40.0169424006551,2.0676283947896592e-14,0.00016740056410341315
39,0.9921052631578947,5.0,3.361958347384306e-19,3.6599846323344896e-08,-42.53646452865979,2.649282900496418e-15,0.00010446734962758547
40,0.9842105263157894,0.0,0.33321672800132096,0.333216728001321,-0.000524769899323374,0.33601177962501255,1.059364182536993
41,0.9842105263157894,0.2631578947368421,0.9223291624188933,0.9231987792456039,3.1635302393772786,0.026164211594056727,1.344521428967801
