,alpha,gamma,p_short,p_long,p_weird,p_short2,p_long2
0,1.0,0.0,0.24979233140778082,0.24991509332909848,0.25004531238944244,0.25024726287367827,0.24991509332909848
1,1.0,0.050505050505050504,1.38566454472532e-06,2.0383969586736813e-06,0.999995312527933,1.3830729020562787e-06,2.0383969591307462e-06
2,1.0,0.10101010101010101,2.2316944721430573e-11,3.2208535138426005e-11,0.9999999999268594,2.2308243810307655e-11,3.2208535138426005e-11
3,1.0,0.15151515151515152,1.9637653299597732e-15,2.775150363830174e-15,0.9999999999999938,1.963154019606281e-15,2.775150363830174e-15
4,1.0,0.20202020202020202,8.892019339761052e-19,1.2225044073141696e-18,1.0,8.899938805025638e-19,1.2225044073141696e-18
5,1.0,0.25252525252525254,1.9352437723385475e-21,2.5629725723561834e-21,1.0,1.9355791061882316e-21,2.5629725723561834e-21
6,1.0,0.30303030303030304,1.8987796617914793e-23,2.6151032150094356e-23,1.0,1.9004045660550154e-23,2.6151032150094356e-23
7,1.0,0.35353535353535354,4.324620673450546e-24,1.2550103410184224e-20,1.0,4.325838617398681e-24,1.2550103410189842e-20
8,1.0,0.40404040404040403,2.3265125592863577e-07,1.2663669302276338e-15,0.9999997408383493,2.3261076444622602e-07,1.2663666239583905e-15
9,1.0,0.45454545454545453,0.24792939722787946,9.642744349246505e-29,0.730532240219907,0.24792939722787963,9.643165935505801e-29
10,1.0,0.5050505050505051,0.9084404463359284,2.8925971637254093e-43,4.311679197300409e-10,0.9083956327584477,2.891433730472177e-43
11,1.0,0.5555555555555556,0.9262526301451097,5.5976888795905446e-55,1.6610989432581571e-28,0.9262329915614409,5.596761198311705e-55
12,1.0,0.6060606060606061,0.9407840946830142,3.8783914331304447e-67,7.403028237932665e-49,0.9407636375855647,3.875008895607058e-67
13,1.0,0.6565656565656566,0.9525588661208422,1.222495717069118e-79,6.795331752088406e-71,0.9525760690475231,1.2213970254690097e-79
14,1.0,0.7070707070707071,0.9620971153065379,2.1498969765282223e-92,2.190492830424418e-94,0.9621043858659633,2.150431684827193e-92
15,1.0,0.7575757575757576,0.969768608508724,2.4911554535509945e-105,3.9608685762354593e-119,0.9697895682462141,2.4863154007351882e-105
16,1.0,0.8080808080808081,0.975938707112845,2.15573669651461e-118,6.119391709955646e-145,0.9759485957304801,2.1541643800671575e-118
17,1.0,0.8585858585858586,0.9808740639736543,1.5760629307619648e-131,1.1751886263173945e-171,0.9808840305258646,1.575142014926695e-131
18,1.0,0.9090909090909091,0.9848213278965231,1.0610111223226695e-144,3.88868909689643e-199,0.9848202658064413,1.0611677855762997e-144
19,1.0,0.9595959595959596,0.9879585563193827,7.10126202944283e-158,2.952384790305492e-227,0.9879662625212831,7.104135362761892e-158
20,1.0,1.0101010101010102,0.9904619098743286,5.006563774051641e-171,6.595736425808011e-256,0.9904618466866452,5.005930864699961e-171
21,1.0,1.0606060606060606,0.9924467731180612,3.9282102993212723e-184,5.397540442513308e-285,0.992448215119631,3.9206878219991406e-184
22,1.0,1.1111111111111112,0.9940247223761253,3.539863533433583e-197,1.9473701807e-314,0.9940211511238571,3.541516706707049e-197
23,1.0,1.1616161616161615,0.9952713708646119,3.787687631580609e-210,0.0,0.9952719413292882,3.79154453319479e-210
24,1.0,1.2121212121212122,0.9962638382680786,4.924725395432005e-223,0.0,0.9962573341642401,4.924899078434874e-223
25,1.0,1.2626262626262625,0.9970434090069218,7.859481438686074e-236,0.0,0.997043101820739,7.865579780172036e-236
26,1.0,1.3131313131313131,0.9976612667942738,1.5676564637189712e-248,0.0,0.997663461448326,1.5686863572946841e-248
27,1.0,1.3636363636363635,0.9981527742540832,3.9223088034123627e-261,0.0,0.9981510326279969,3.9223661392493254e-261
28,1.0,1.4141414141414141,0.998538885586882,1.230904674905186e-273,0.0,0.9985388820585172,1.230355823760484e-273
29,1.0,1.4646464646464645,0.9988447541004956,4.871423114121753e-286,0.0,0.9988447203228564,4.8643420488175855e-286
30,1.0,1.5151515151515151,0.9990866212170468,2.414793119321955e-298,0.0,0.9990862761159396,2.4146979580719118e-298
31,1.0,1.5656565656565655,0.9992776182980024,1.4985337092137e-310,0.0,0.9992773133323187,1.4985501254208e-310
32,1.0,1.6161616161616161,0.9994281876075509,1.14e-322,0.0,0.9994286667887738,1.14e-322
33,1.0,1.6666666666666667,0.9995476152475379,0.0,0.0,0.9995478724525189,0.0
34,1.0,1.7171717171717171,0.9996419918818709,0.0,0.0,0.9996421332190188,0.0
35,1.0,1.7676767676767677,0.999716646825986,0.0,0.0,0.9997166213047031,0.0
36,1.0,1.8181818181818181,0.9997755210930047,0.0,0.0,0.9997756896413441,0.0
37,1.0,1.8686868686868687,0.9998221033854793,0.0,0.0,0.999822399022896,0.0
38,1.0,1.9191919191919191,0.9998590481571339,0.0,0.0,0.9998592666381276,0.0
39,1.0,1.9696969696969697,0.9998883790020023,0.0,0.0,0.9998883525898397,0.0
40,1.0,2.0202020202020203,0.9999114696655931,0.0,0.0,0.9999115079801536,0.0
41,1.0,2.0707070707070705,0.9999297234040618,0.0,0.0,0.9999298764893942,0.0
42,1.0,2.121212121212121,0.9999443105229338,0.0,0.0,0.9999442996796775,0.0
43,1.0,2.1717171717171717,0.9999557352854997,0.0,0.0,0.9999558628198418,0.0
44,1.0,2.2222222222222223,0.9999649334527962,0.0,0.0,0.9999648862987932,0.0
45,1.0,2.2727272727272725,0.999972119174156,0.0,0.0,0.999972148917007,0.0
46,1.0,2.323232323232323,0.9999778463591406,0.0,0.0,0.9999778818850642,0.0
47,1.0,2.3737373737373737,0.9999824079658894,0.0,0.0,0.9999824132218712,0.0
48,1.0,2.4242424242424243,0.9999860250238319,0.0,0.0,0.999986013203482,0.0
49,1.0,2.474747474747475,0.9999888810422165,0.0,0.0,0.999988887158893,0.0
50,1.0,2.525252525252525,0.9999911500462034,0.0,0.0,0.9999911689072175,0.0
51,1.0,2.5757575757575757,0.9999929657942173,0.0,0.0,0.9999929684937443,0.0
52,1.0,2.6262626262626263,0.9999944078456189,0.0,0.0,0.9999943995106316,0.0
53,1.0,2.676767676767677,0.9999955442495442,0.0,0.0,0.9999955469840589,0.0
54,1.0,2.727272727272727,0.999996454464716,0.0,0.0,0.9999964528113265,0.0
55,1.0,2.7777777777777777,0.9999971756588197,0.0,0.0,0.9999971760670424,0.0
56,1.0,2.8282828282828283,0.9999977507396177,0.0,0.0,0.9999977501949854,0.0
57,1.0,2.878787878787879,0.9999982083196159,0.0,0.0,0.999998207174637,0.0
58,1.0,2.929292929292929,0.9999985727637914,0.0,0.0,0.9999985707422347,0.0
59,1.0,2.9797979797979797,0.9999988611916267,0.0,0.0,0.9999988619760595,0.0
60,1.0,3.0303030303030303,0.9999990915593636,0.0,0.0,0.9999990932628467,0.0
61,1.0,3.080808080808081,0.9999992761877382,0.0,0.0,0.999999276392785,0.0
62,1.0,3.131313131313131,0.9999994234253597,0.0,0.0,0.9999994221819583,0.0
63,1.0,3.1818181818181817,0.999999539372694,0.0,0.0,0.9999995397675836,0.0
64,1.0,3.2323232323232323,0.9999996330385889,0.0,0.0,0.9999996322596698,0.0
65,1.0,3.282828282828283,0.9999997069942578,0.0,0.0,0.9999997067281027,0.0
66,1.0,3.3333333333333335,0.9999997657107638,0.0,0.0,0.9999997663738471,0.0
67,1.0,3.3838383838383836,0.9999998132664885,0.0,0.0,0.9999998132252523,0.0
68,1.0,3.4343434343434343,0.9999998510255097,0.0,0.0,0.9999998507802851,0.0
69,1.0,3.484848484848485,0.9999998806812456,0.0,0.0,0.9999998812175418,0.0
70,1.0,3.5353535353535355,0.9999999048779097,0.0,0.0,0.9999999049771277,0.0
71,1.0,3.5858585858585856,0.9999999240803372,0.0,0.0,0.9999999240516444,0.0
72,1.0,3.6363636363636362,0.9999999393692486,0.0,0.0,0.9999999393187772,0.0
73,1.0,3.686868686868687,0.9999999515780876,0.0,0.0,0.9999999515061316,0.0
74,1.0,3.7373737373737375,0.9999999612764188,0.0,0.0,0.9999999612887184,0.0
75,1.0,3.7878787878787876,0.9999999690221216,0.0,0.0,0.999999969101116,0.0
76,1.0,3.8383838383838382,0.9999999752689337,0.0,0.0,0.9999999752811544,0.0
77,1.0,3.888888888888889,0.9999999802353985,0.0,0.0,0.999999980241745,0.0
78,1.0,3.9393939393939394,0.9999999841967604,0.0,0.0,0.9999999842114644,0.0
79,1.0,3.9898989898989896,0.9999999873733122,0.0,0.0,0.9999999873720732,0.0
80,1.0,4.040404040404041,0.9999999898971755,0.0,0.0,0.9999999899123436,0.0
81,1.0,4.090909090909091,0.9999999919229615,0.0,0.0,0.999999991933823,0.0
82,1.0,4.141414141414141,0.9999999935448904,0.0,0.0,0.9999999935468045,0.0
83,1.0,4.191919191919192,0.9999999948383906,0.0,0.0,0.9999999948391642,0.0
84,1.0,4.242424242424242,0.9999999958785499,0.0,0.0,0.9999999958662313,0.0
85,1.0,4.292929292929293,0.9999999967034232,0.0,0.0,0.9999999966941167,0.0
86,1.0,4.343434343434343,0.9999999973569753,0.0,0.0,0.9999999973620664,0.0
87,1.0,4.393939393939394,0.9999999978863889,0.0,0.0,0.9999999978893757,0.0
88,1.0,4.444444444444445,0.9999999983079653,0.0,0.0,0.9999999983128605,0.0
89,1.0,4.494949494949495,0.999999998648492,0.0,0.0,0.9999999986481787,0.0
90,1.0,4.545454545454545,0.9999999989201909,0.0,0.0,0.9999999989170307,0.0
91,1.0,4.595959595959596,0.9999999991324391,0.0,0.0,0.9999999991371524,0.0
92,1.0,4.646464646464646,0.9999999993080604,0.0,0.0,0.9999999993073927,0.0
93,1.0,4.696969696969697,0.9999999994466666,0.0,0.0,0.9999999994454649,0.0
94,1.0,4.747474747474747,0.9999999995570528,0.0,0.0,0.9999999995564259,0.0
95,1.0,4.797979797979798,0.9999999996449773,0.0,0.0,0.9999999996455928,0.0
96,1.0,4.848484848484849,0.9999999997166173,0.0,0.0,0.9999999997156439,0.0
97,1.0,4.898989898989899,0.9999999997728244,0.0,0.0,0.9999999997728102,0.0
98,1.0,4.94949494949495,0.9999999998180855,0.0,0.0,0.9999999998182685,0.0
99,1.0,5.0,0.9999999998548754,0.0,0.0,0.9999999998540741,0.0
100,0.98989898989899,0.0,0.2498868259199611,0.25017976894507343,0.25006599268540625,0.24986741244955907,0.25017976894507343
101,0.98989898989899,0.050505050505050504,1.3968743301626515e-06,2.0452825845152527e-06,0.9999952835793552,1.3949540124349237e-06,2.045282584855065e-06
102,0.98989898989899,0.10101010101010101,2.24410583631269e-11,3.231723754629443e-11,0.9999999999265128,2.244484062170771e-11,3.231723754629443e-11
103,0.98989898989899,0.15151515151515152,1.9816487553362204e-15,2.791791774951141e-15,0.9999999999999938,1.9824989303576762e-15,2.791791774951141e-15
104,0.98989898989899,0.20202020202020202,8.970649800039135e-19,1.2288397749010503e-18,1.0,8.96906639537811e-19,1.2288397749010503e-18
105,0.98989898989899,0.25252525252525254,1.9512878978397706e-21,2.5762560035348125e-21,1.0,1.9513927648360666e-21,2.5762560035348125e-21
106,0.98989898989899,0.30303030303030304,1.9146686973690128e-23,2.6237195587198728e-23,1.0,1.9139129005297483e-23,2.6237195587198728e-23
107,0.98989898989899,0.35353535353535354,1.585873331777061e-24,9.225717783068583e-21,1.0,1.5860940898342812e-24,9.225717783063469e-21
108,0.98989898989899,0.40404040404040403,4.532098316563892e-09,8.60776432403415e-16,0.9999999949400207,4.531621981165834e-09,8.607765250548737e-16
109,0.98989898989899,0.45454545454545453,0.2186849557347363,6.026183940266792e-26,0.7618441537933148,0.2186849557347363,6.026311080143542e-26
110,0.98989898989899,0.5050505050505051,0.906632227802502,7.224636138743161e-41,4.008036695114809e-09,0.9066283949934048,7.224676455146063e-41
111,0.98989898989899,0.5555555555555556,0.9246398451726374,2.8354159007732926e-52,2.7989590823315478e-27,0.9246367617892702,2.8354808970800055e-52
112,0.98989898989899,0.6060606060606061,0.939353923193009,4.0290660325672064e-64,2.2626233522053886e-47,0.9393545970305048,4.029078933332832e-64
113,0.98989898989899,0.6565656565656566,0.951326046001253,2.5252470086371737e-76,3.807812907348375e-69,0.9513263827428324,2.5252292063801708e-76
114,0.98989898989899,0.7070707070707071,0.9610258064204953,8.57796720671821e-89,2.2522366746951106e-92,0.9610264998063023,8.577875446834866e-89
115,0.98989898989899,0.7575757575757576,0.9688564694159737,1.8570448744480884e-101,7.487555834667298e-117,0.9688566643012995,1.85704107678591e-101
116,0.98989898989899,0.8080808080808081,0.9751574562781782,2.934299281717352e-114,2.1106839126386406e-142,0.9751572771669993,2.934308401877254e-114
117,0.98989898989899,0.8585858585858586,0.9802130759540347,3.8058536172381235e-127,7.367867254261452e-169,0.9802129713062175,3.80586275540116e-127
118,0.98989898989899,0.9090909090909091,0.9842596958803946,4.437594173055964e-140,4.386872660674381e-196,0.9842596272320229,4.437603627327535e-140
119,0.98989898989899,0.9595959595959596,0.9874918207371136,5.03571299587119e-153,5.928743039147945e-224,0.9874918711100308,5.035703568272249e-153
120,0.98989898989899,1.0101010101010102,0.990068874613423,5.931448223100983e-166,2.3299931402149976e-252,0.9900688683122836,5.931450136530108e-166
